dataset,dim,suite,filter_kind,sweep,algo,backend,params,seed,status,path,n_items,n_queries,n_kept,n_queries_heldout,n_queries_oracle,n_targets_in_filter,pass_rate,bloom_fp_rate,k_max,build_s,index_mib,filter_mib,unstable,memory_reserved_mib,elapsed_s,env_code_version,env_commit,env_dirty,env_gpu,env_sm_mhz_load,env_clocks_drift,heldout_recall@100,heldout_ndcg@100,heldout_precision@100,heldout_mrr@100,heldout_recall@500,heldout_ndcg@500,heldout_precision@500,heldout_mrr@500,heldout_recall@1000,heldout_ndcg@1000,heldout_precision@1000,heldout_mrr@1000,heldout_n,oracle_recall@100,oracle_ndcg@100,oracle_precision@100,oracle_mrr@100,oracle_recall@500,oracle_ndcg@500,oracle_precision@500,oracle_mrr@500,oracle_recall@1000,oracle_ndcg@1000,oracle_precision@1000,oracle_mrr@1000,oracle_n,quality_jaccard_vs_first@100,quality_jaccard_vs_first@500,quality_jaccard_vs_first@1000,quality_score_max_abs_diff,quality_parity,perf_k,perf_bs,perf_mode,perf_cache_plans,perf_n,perf_median_ms,perf_mean_ms,perf_p95_ms,perf_p99_ms,perf_min_ms,perf_iqr_ms,perf_qps,perf_host_gap_ms,perf_outliers_std,perf_outliers_tukey,perf_load,perf_spread,perf_unstable,perf_peak_fwd_mib,perf_sm_mhz,perf_reason
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,100,1,eager,,3777,0.5216320157051086,0.5336729976781815,0.6372543811798096,0.6929177546501123,0.4345279932022095,0.01455998420715332,1826.2908769692904,0.013884903755071454,38,464,closed_loop,0.005521089847915788,False,2.05517578125,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,100,1,graph,,5000,0.19014400243759155,0.19532296316027642,0.22332799434661865,0.24813215687870988,0.14793600142002106,0.012008007615804672,5025.703327518774,0.0036541619963944005,29,653,closed_loop,0.015314786085771328,False,,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,500,1,eager,,3133,0.6381120085716248,0.6436952696491878,0.774399995803833,0.8213440179824829,0.5223360061645508,0.015359997749328613,1515.9376503923822,0.015962467422757087,51,579,closed_loop,0.007923317419444872,False,2.0595703125,1275.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,500,1,graph,,5000,0.18886399269104004,0.19367544950246812,0.22163840383291247,0.24528159767389301,0.15561600029468536,0.011455997824668884,5065.882911643316,0.003723506896942841,53,601,closed_loop,0.14944090661778722,True,,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,1000,1,eager,,3085,0.6503999829292297,0.6632842894891093,0.8006911993026733,0.8378431820869445,0.5305600166320801,0.03891199827194214,1471.3968910560468,0.016341993588247727,9,538,closed_loop,0.06902830221791785,True,2.0654296875,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,1000,1,graph,,5000,0.18566399812698364,0.1835670272052288,0.21731359362602234,0.236358076632023,0.1568640023469925,0.025856003165245056,5341.665397852902,0.0036405055619776194,37,82,closed_loop,0.14305408637447128,True,,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,100,8,eager,,3031,0.6547520160675049,0.6678624353327007,0.7952159941196442,0.8201824188232417,0.5358399748802185,0.0140799880027771,11880.025285050817,0.005536804824369357,19,431,closed_loop,0.02741805217263382,False,16.03515625,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,100,8,graph,,5000,0.2935999929904938,0.2944930688381195,0.30057600140571594,0.30537663340568544,0.2800320088863373,0.0054399967193603516,26827.62004566676,0.0037070691682398738,28,68,closed_loop,0.0004359706325309613,False,,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,500,8,eager,,3001,0.6621760129928589,0.6684462299191208,0.8012160062789917,0.8473920226097107,0.52537602186203,0.016992032527923584,11879.157309465694,0.005002213568140901,32,593,closed_loop,0.019281837927461885,False,16.07177734375,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,500,8,graph,,5000,0.3104960024356842,0.3115215488195419,0.317440003156662,0.3232006275653839,0.296671986579895,0.005567997694015503,25385.363747972748,0.0036206756301224163,41,78,closed_loop,0.0007215038378302785,False,,1410.0,
