utc,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
2026-09-06T17:11:47Z,1410,1593,41,216.74,100
2026-09-06T17:12:18Z,1140,1593,33,73.93,0
2026-09-06T17:12:48Z,1140,1593,30,73.32,2
2026-09-06T17:13:19Z,1140,1593,30,73.32,2
2026-09-06T17:13:50Z,1140,1593,29,73.32,1
2026-09-06T17:14:21Z,1140,1593,29,73.05,1
2026-09-06T17:14:52Z,1140,1593,29,73.32,2
2026-09-06T17:15:22Z,1140,1593,29,73.05,2
2026-09-06T17:15:53Z,1140,1593,29,73.05,2
2026-09-06T17:16:24Z,1140,1593,29,77.38,1
2026-09-06T17:16:56Z,1140,1593,29,73.05,0
2026-09-06T17:17:26Z,1410,1593,36,94.06,0
2026-09-06T17:17:56Z,1410,1593,42,212.68,100
2026-09-06T17:18:27Z,1410,1593,42,213.02,100
2026-09-06T17:18:57Z,1410,1593,41,197.58,99
2026-09-06T17:19:27Z,1140,1593,32,73.65,4
2026-09-06T17:19:58Z,1140,1593,30,73.32,3
2026-09-06T17:20:29Z,1140,1593,30,73.32,3
2026-09-06T17:21:00Z,1140,1593,29,73.93,0
2026-09-06T17:21:31Z,1140,1593,29,73.05,1
2026-09-06T17:22:02Z,1140,1593,29,73.05,4
2026-09-06T17:22:32Z,1140,1593,29,73.05,4
2026-09-06T17:23:03Z,1140,1593,29,73.05,2
2026-09-06T17:23:34Z,1140,1593,29,73.05,1
2026-09-06T17:24:05Z,1140,1593,29,73.05,1
2026-09-06T17:24:36Z,1140,1593,29,73.05,0
2026-09-06T17:25:06Z,1410,1593,42,222.91,100
2026-09-06T17:25:36Z,1410,1593,46,256.34,100
2026-09-06T17:26:06Z,1410,1593,47,266.23,100
2026-09-06T17:26:36Z,1410,1593,48,268.72,100
2026-09-06T17:27:07Z,1410,1593,48,264.07,100
2026-09-06T17:27:37Z,1140,1593,33,73.93,1
2026-09-06T17:28:07Z,1140,1593,30,73.65,0
2026-09-06T17:28:39Z,1140,1593,30,73.32,0
2026-09-06T17:29:09Z,1140,1593,30,73.32,1
2026-09-06T17:29:40Z,1140,1593,29,73.32,0
2026-09-06T17:30:11Z,1140,1593,29,73.65,0
2026-09-06T17:30:42Z,1140,1593,29,73.05,1
2026-09-06T17:31:13Z,1140,1593,29,73.05,1
