cell                                                                   check                 verdict  detail
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=500 bs=8    FAIL     v2 graph 1.1591 ms golden 1.1506 ms ratio 1.007 [sm 1410/1155 MHz → normalised ratio 1.230]; v2 eager 2.9095 ms
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=500 bs=16   FAIL     v2 graph 1.8316 ms golden 1.8523 ms ratio 0.989 [sm 1410/1155 MHz → normalised ratio 1.207]; v2 eager 5.2478 ms
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=1000 bs=1   FAIL     v2 graph 0.6036 ms golden 0.6123 ms ratio 0.986 [sm 1410/1155 MHz → normalised ratio 1.203]; v2 eager 0.8973 ms
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=1000 bs=8   FAIL     v2 graph 1.1596 ms golden 1.1513 ms ratio 1.007 [sm 1410/1155 MHz → normalised ratio 1.230]; v2 eager 2.9102 ms
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=1000 bs=16  FAIL     v2 graph 1.8335 ms golden 1.8509 ms ratio 0.991 [sm 1410/1155 MHz → normalised ratio 1.209]; v2 eager 5.2494 ms
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     parity                INFO     vs_triton: jaccard@100 1.000000, score_max_abs_diff 0.000e+00 (inexact algo: reported)
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     stable                PASS     stable
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    quality recall@100    PASS     v2 0.912800 golden 0.912800 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    quality ndcg@100      PASS     v2 0.935957 golden 0.935957 |diff| 5.5e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    quality recall@500    PASS     v2 0.847150 golden 0.847150 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    quality ndcg@500      PASS     v2 0.876262 golden 0.876262 |diff| 4.1e-10 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    quality recall@1000   PASS     v2 0.789005 golden 0.789005 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    quality ndcg@1000     PASS     v2 0.823339 golden 0.823339 |diff| 1.7e-10 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=100 bs=1    FAIL     v2 graph 0.2016 ms golden 0.2099 ms ratio 0.961 [sm 1410/1155 MHz → normalised ratio 1.173]; v2 eager 0.6468 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=100 bs=8    FAIL     v2 graph 0.4382 ms golden 0.4478 ms ratio 0.979 [sm 1410/1155 MHz → normalised ratio 1.195]; v2 eager 0.6640 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=100 bs=16   FAIL     v2 graph 0.8407 ms golden 0.8518 ms ratio 0.987 [sm 1410/1155 MHz → normalised ratio 1.205]; v2 eager 0.9193 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=500 bs=1    PASS     v2 graph 0.2167 ms golden 0.2711 ms ratio 0.799 [sm 1410/1155 MHz → normalised ratio 0.976]; v2 eager 0.6452 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=500 bs=8    FAIL     v2 graph 0.4549 ms golden 0.4632 ms ratio 0.982 [sm 1410/1155 MHz → normalised ratio 1.199]; v2 eager 0.6651 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=500 bs=16   FAIL     v2 graph 0.8555 ms golden 0.8663 ms ratio 0.988 [sm 1410/1155 MHz → normalised ratio 1.206]; v2 eager 0.9335 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=1000 bs=1   PASS     v2 graph 0.2196 ms golden 0.2580 ms ratio 0.851 [sm 1410/1155 MHz → normalised ratio 1.039]; v2 eager 0.6480 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=1000 bs=8   FAIL     v2 graph 0.4565 ms golden 0.4638 ms ratio 0.984 [sm 1410/1155 MHz → normalised ratio 1.202]; v2 eager 0.6632 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    latency k=1000 bs=16  FAIL     v2 graph 0.8576 ms golden 0.8687 ms ratio 0.987 [sm 1410/1155 MHz → normalised ratio 1.205]; v2 eager 0.9362 ms
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    parity                INFO     parity=reference (wrote the reference or no quality)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":24}    stable                FAIL     unstable: k=100 bs=8 eager spread 0.086 clocks_drift
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":32}    quality               INFO     no golden cell for these params / backend
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":32}    graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":32}    parity                INFO     parity=reference (wrote the reference or no quality)
goodreads-d128-clause/c0_genre-silvertorch-triton-s0-{"n_probe":32}    stable                FAIL     unstable: k=100 bs=1 eager spread 0.131, k=1000 bs=1 eager spread 0.074 clocks_drift
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     quality recall@100    PASS     v2 0.912800 golden 0.912800 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     quality ndcg@100      PASS     v2 0.935957 golden 0.935957 |diff| 5.5e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     quality recall@500    PASS     v2 0.847150 golden 0.847150 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     quality ndcg@500      PASS     v2 0.876262 golden 0.876262 |diff| 4.1e-10 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     quality recall@1000   PASS     v2 0.789005 golden 0.789005 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     quality ndcg@1000     PASS     v2 0.823339 golden 0.823339 |diff| 1.7e-10 (tol 1e-06)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=100 bs=1    FAIL     v2 graph 0.5757 ms golden 0.6266 ms ratio 0.919 [sm 1410/1155 MHz → normalised ratio 1.122]; v2 eager 1.9739 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=100 bs=8    FAIL     v2 graph 3.4439 ms golden 3.4513 ms ratio 0.998 [sm 1410/1155 MHz → normalised ratio 1.218]; v2 eager 13.8360 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=100 bs=16   FAIL     v2 graph 6.8065 ms golden 6.8599 ms ratio 0.992 [sm 1410/1155 MHz → normalised ratio 1.211]; v2 eager 27.5719 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=500 bs=1    FAIL     v2 graph 0.5895 ms golden 0.6434 ms ratio 0.916 [sm 1410/1155 MHz → normalised ratio 1.119]; v2 eager 1.9954 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=500 bs=8    FAIL     v2 graph 3.4728 ms golden 3.4701 ms ratio 1.001 [sm 1410/1155 MHz → normalised ratio 1.222]; v2 eager 13.8556 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=500 bs=16   FAIL     v2 graph 6.8224 ms golden 6.8714 ms ratio 0.993 [sm 1410/1155 MHz → normalised ratio 1.212]; v2 eager 27.5771 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=1000 bs=1   FAIL     v2 graph 0.5922 ms golden 0.6495 ms ratio 0.912 [sm 1410/1155 MHz → normalised ratio 1.113]; v2 eager 2.0013 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=1000 bs=8   FAIL     v2 graph 3.4586 ms golden 3.4660 ms ratio 0.998 [sm 1410/1155 MHz → normalised ratio 1.218]; v2 eager 13.8560 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     latency k=1000 bs=16  FAIL     v2 graph 6.8240 ms golden 6.8680 ms ratio 0.994 [sm 1410/1155 MHz → normalised ratio 1.213]; v2 eager 27.5802 ms
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     parity                INFO     vs_triton: jaccard@100 1.000000, score_max_abs_diff 0.000e+00 (inexact algo: reported)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":24}     stable                FAIL     unstable: clocks_drift
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":32}     quality               INFO     no golden cell for these params / backend
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":32}     graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":32}     parity                INFO     vs_triton: jaccard@100 1.000000, score_max_abs_diff 0.000e+00 (inexact algo: reported)
goodreads-d128-clause/c0_genre-silvertorch-torch-s0-{"n_probe":32}     stable                FAIL     unstable: clocks_drift
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":24}  quality               INFO     no golden cell for these params / backend
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":24}  graph                 PASS     9 entries null with reason not_capturable
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":24}  parity                PASS     vs_triton: jaccard@100 0.999849, score_max_abs_diff 5.517e-03 (≥ 0.99)
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":24}  stable                FAIL     unstable: clocks_drift
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":24}  official              PASS     status ok, quality present, 9 timed entries, 0 with the plan cache on
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":32}  quality               INFO     no golden cell for these params / backend
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":32}  graph                 PASS     9 entries null with reason not_capturable
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":32}  parity                PASS     vs_triton: jaccard@100 0.999805, score_max_abs_diff 5.622e-03 (≥ 0.99)
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":32}  stable                FAIL     unstable: k=500 bs=1 eager spread 0.070 clocks_drift
goodreads-d128-clause/c0_genre-silvertorch-official-s0-{"n_probe":32}  official              PASS     status ok, quality present, 9 timed entries, 0 with the plan cache on
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      quality recall@100    FAIL     v2 0.884044 golden 0.884042 |diff| 2.0e-06 (tol 1e-06)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      quality ndcg@100      FAIL     v2 0.913734 golden 0.913733 |diff| 1.4e-06 (tol 1e-06)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      quality recall@500    PASS     v2 0.847300 golden 0.847300 |diff| 6.0e-12 (tol 1e-06)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      quality ndcg@500      PASS     v2 0.875418 golden 0.875418 |diff| 7.5e-09 (tol 1e-06)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      quality recall@1000   PASS     v2 0.819666 golden 0.819666 |diff| 6.0e-12 (tol 1e-06)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      quality ndcg@1000     PASS     v2 0.848330 golden 0.848330 |diff| 6.5e-09 (tol 1e-06)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=100 bs=1    FAIL     v2 graph 0.1901 ms golden 0.1571 ms ratio 1.210 [sm 1410/1155 MHz → normalised ratio 1.477]; v2 eager 0.5216 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=100 bs=8    FAIL     v2 graph 0.2936 ms golden 0.3069 ms ratio 0.957 [sm 1410/1155 MHz → normalised ratio 1.168]; v2 eager 0.6548 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=100 bs=16   FAIL     v2 graph 0.4516 ms golden 0.4626 ms ratio 0.976 [sm 1410/1155 MHz → normalised ratio 1.192]; v2 eager 0.6658 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=500 bs=1    FAIL     v2 graph 0.1889 ms golden 0.2014 ms ratio 0.938 [sm 1410/1155 MHz → normalised ratio 1.145]; v2 eager 0.6381 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=500 bs=8    FAIL     v2 graph 0.3105 ms golden 0.3177 ms ratio 0.977 [sm 1410/1155 MHz → normalised ratio 1.193]; v2 eager 0.6622 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=500 bs=16   FAIL     v2 graph 0.4668 ms golden 0.4786 ms ratio 0.975 [sm 1410/1155 MHz → normalised ratio 1.191]; v2 eager 0.6576 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=1000 bs=1   FAIL     v2 graph 0.1857 ms golden 0.1717 ms ratio 1.082 [sm 1410/1155 MHz → normalised ratio 1.320]; v2 eager 0.6504 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=1000 bs=8   FAIL     v2 graph 0.3091 ms golden 0.3200 ms ratio 0.966 [sm 1410/1155 MHz → normalised ratio 1.179]; v2 eager 0.6579 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      latency k=1000 bs=16  FAIL     v2 graph 0.4671 ms golden 0.4776 ms ratio 0.978 [sm 1410/1155 MHz → normalised ratio 1.194]; v2 eager 0.6532 ms
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      parity                INFO     parity=reference (wrote the reference or no quality)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":24}      stable                FAIL     unstable: k=500 bs=1 graph spread 0.149, k=1000 bs=1 eager spread 0.069, k=1000 bs=1 graph spread 0.143, k=1000 bs=8 eager spread 0.054, k=100 bs=16 eager spread 0.068 clocks_drift
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":32}      quality               INFO     no golden cell for these params / backend
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":32}      graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":32}      parity                INFO     parity=reference (wrote the reference or no quality)
arxiv-d128-clause/c0_maincat-silvertorch-triton-s0-{"n_probe":32}      stable                FAIL     unstable: k=1000 bs=1 eager spread 0.053 clocks_drift
arxiv-d128-clause/c0_maincat-silvertorch-torch-s0-{"n_probe":24}       quality               INFO     no golden cell for these params / backend
arxiv-d128-clause/c0_maincat-silvertorch-torch-s0-{"n_probe":24}       graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
arxiv-d128-clause/c0_maincat-silvertorch-torch-s0-{"n_probe":24}       parity                INFO     vs_triton: jaccard@100 1.000000, score_max_abs_diff 0.000e+00 (inexact algo: reported)
arxiv-d128-clause/c0_maincat-silvertorch-torch-s0-{"n_probe":24}       stable                FAIL     unstable: clocks_drift
arxiv-d128-clause/c0_maincat-silvertorch-torch-s0-{"n_probe":32}       quality               INFO     no golden cell for these params / backend
arxiv-d128-clause/c0_maincat-silvertorch-torch-s0-{"n_probe":32}       graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
arxiv-d128-clause/c0_maincat-silvertorch-torch-s0-{"n_probe":32}       parity                INFO     vs_triton: jaccard@100 1.000000, score_max_abs_diff 0.000e+00 (inexact algo: reported)
arxiv-d128-clause/c0_maincat-silvertorch-torch-s0-{"n_probe":32}       stable                FAIL     unstable: k=500 bs=1 eager spread 0.052 clocks_drift
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":24}    quality               INFO     no golden cell for these params / backend
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":24}    graph                 PASS     9 entries null with reason not_capturable
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":24}    parity                FAIL     vs_triton: jaccard@100 0.985033, score_max_abs_diff 4.827e-04 (≥ 0.99)
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":24}    stable                FAIL     unstable: clocks_drift
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":24}    official              PASS     status ok, quality present, 9 timed entries, 0 with the plan cache on
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":32}    quality               INFO     no golden cell for these params / backend
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":32}    graph                 PASS     9 entries null with reason not_capturable
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":32}    parity                FAIL     vs_triton: jaccard@100 0.984882, score_max_abs_diff 4.827e-04 (≥ 0.99)
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":32}    stable                FAIL     unstable: k=500 bs=1 eager spread 0.060 clocks_drift
arxiv-d128-clause/c0_maincat-silvertorch-official-s0-{"n_probe":32}    official              PASS     status ok, quality present, 9 timed entries, 0 with the plan cache on
-------------------------------------------------------------------------------------------------------------
PASS 88  FAIL 127  INFO 23
