cell                                                                   check                 verdict  detail
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-torch-s0-{}         latency k=1000 bs=1   FAIL     v2 graph 0.4349 ms golden 0.4509 ms ratio 0.964 [sm 1410/1155 MHz → normalised ratio 1.177]; v2 eager 0.7013 ms
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-torch-s0-{}         latency k=1000 bs=8   FAIL     v2 graph 0.9677 ms golden 0.9551 ms ratio 1.013 [sm 1410/1155 MHz → normalised ratio 1.237]; v2 eager 2.6192 ms
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-torch-s0-{}         latency k=1000 bs=16  FAIL     v2 graph 1.6624 ms golden 1.6344 ms ratio 1.017 [sm 1410/1155 MHz → normalised ratio 1.242]; v2 eager 4.9170 ms
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-torch-s0-{}         graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-torch-s0-{}         parity                PASS     vs_triton: jaccard@100 1.000000, score_max_abs_diff 0.000e+00 (exact algo: must be 1.0)
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-torch-s0-{}         stable                FAIL     unstable: clocks_drift
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    quality recall@100    PASS     v2 0.999274 golden 0.999274 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    quality ndcg@100      PASS     v2 0.999479 golden 0.999479 |diff| 3.6e-11 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    quality recall@500    PASS     v2 0.999373 golden 0.999373 |diff| 1.1e-16 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    quality ndcg@500      PASS     v2 0.999504 golden 0.999504 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    quality recall@1000   PASS     v2 0.999390 golden 0.999390 |diff| 1.1e-16 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    quality ndcg@1000     PASS     v2 0.999503 golden 0.999503 |diff| 1.6e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=100 bs=1    FAIL     v2 graph 0.3466 ms golden 0.3575 ms ratio 0.969 [sm 1410/1155 MHz → normalised ratio 1.184]; v2 eager 0.6622 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=100 bs=8    FAIL     v2 graph 1.6495 ms golden 1.6765 ms ratio 0.984 [sm 1410/1155 MHz → normalised ratio 1.201]; v2 eager 1.7032 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=100 bs=16   FAIL     v2 graph 3.2124 ms golden 3.2284 ms ratio 0.995 [sm 1410/1155 MHz → normalised ratio 1.215]; v2 eager 3.2714 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=500 bs=1    PASS     v2 graph 0.3582 ms golden 0.4367 ms ratio 0.820 [sm 1410/1155 MHz → normalised ratio 1.001]; v2 eager 0.6634 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=500 bs=8    FAIL     v2 graph 1.6673 ms golden 1.6926 ms ratio 0.985 [sm 1410/1155 MHz → normalised ratio 1.203]; v2 eager 1.7227 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=500 bs=16   FAIL     v2 graph 3.2285 ms golden 3.2410 ms ratio 0.996 [sm 1410/1155 MHz → normalised ratio 1.216]; v2 eager 3.2887 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=1000 bs=1   FAIL     v2 graph 0.3621 ms golden 0.3914 ms ratio 0.925 [sm 1410/1155 MHz → normalised ratio 1.130]; v2 eager 0.6702 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=1000 bs=8   FAIL     v2 graph 1.6757 ms golden 1.6917 ms ratio 0.991 [sm 1410/1155 MHz → normalised ratio 1.209]; v2 eager 1.7238 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    latency k=1000 bs=16  FAIL     v2 graph 3.2319 ms golden 3.2412 ms ratio 0.997 [sm 1410/1155 MHz → normalised ratio 1.217]; v2 eager 3.2919 ms
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    parity                INFO     parity=reference (wrote the reference or no quality)
goodreads-d128-clause/c0_genre-linr_v2-triton-s0-{}                    stable                FAIL     unstable: clocks_drift
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     quality recall@100    PASS     v2 0.999695 golden 0.999695 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     quality ndcg@100      PASS     v2 0.999781 golden 0.999781 |diff| 6.0e-12 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     quality recall@500    PASS     v2 0.999657 golden 0.999657 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     quality ndcg@500      PASS     v2 0.999729 golden 0.999729 |diff| 0.0e+00 (tol 1e-06)
