dataset,dim,suite,filter_kind,sweep,algo,backend,params,seed,status,path,n_items,n_queries,n_kept,n_queries_heldout,n_queries_oracle,n_targets_in_filter,pass_rate,bloom_fp_rate,k_max,build_s,index_mib,filter_mib,unstable,memory_reserved_mib,elapsed_s,env_code_version,env_commit,env_dirty,env_gpu,env_sm_mhz_load,env_clocks_drift,heldout_recall@100,heldout_ndcg@100,heldout_precision@100,heldout_mrr@100,heldout_recall@500,heldout_ndcg@500,heldout_precision@500,heldout_mrr@500,heldout_recall@1000,heldout_ndcg@1000,heldout_precision@1000,heldout_mrr@1000,heldout_n,oracle_recall@100,oracle_ndcg@100,oracle_precision@100,oracle_mrr@100,oracle_recall@500,oracle_ndcg@500,oracle_precision@500,oracle_mrr@500,oracle_recall@1000,oracle_ndcg@1000,oracle_precision@1000,oracle_mrr@1000,oracle_n,quality_jaccard_vs_first@100,quality_jaccard_vs_first@500,quality_jaccard_vs_first@1000,quality_score_max_abs_diff,quality_parity,perf_k,perf_bs,perf_mode,perf_cache_plans,perf_n,perf_median_ms,perf_mean_ms,perf_p95_ms,perf_p99_ms,perf_min_ms,perf_iqr_ms,perf_qps,perf_host_gap_ms,perf_outliers_std,perf_outliers_tukey,perf_load,perf_spread,perf_unstable,perf_peak_fwd_mib,perf_sm_mhz
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,100,1,eager,,3542,0.4901440143585205,0.49119461514160906,0.49254239499568936,0.4959548908472061,0.4870719909667969,0.0015040040016174316,2020.9926448605167,0.003611737836987372,24,129,closed_loop,0.0015015957190658879,False,4.5615234375,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,100,1,graph,,3840,0.45232000946998596,0.4533430415438488,0.45494401454925537,0.4612524738907817,0.44915199279785156,0.0015999972820281982,2188.4076983102673,0.003610203855593408,29,141,closed_loop,0.0010611872000503909,False,,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,500,1,eager,,3940,0.5077760219573975,0.5091270178102599,0.5099520087242126,0.5457542216777804,0.5044479966163635,0.0014400482177734375,1950.1787934853733,0.0036464793380671656,38,141,closed_loop,0.0009452911985207772,False,4.791015625,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,500,1,graph,,4291,0.466592013835907,0.46725077789248187,0.4687199890613556,0.471971195936203,0.4630720019340515,0.0013760030269622803,2123.497584289103,0.0036704077017916115,23,128,closed_loop,0.0006857972832540146,False,,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,1000,1,eager,,3936,0.5089280009269714,0.5099100982997475,0.5110080242156982,0.5149216115474701,0.5055999755859375,0.0014079809188842773,1947.1025435618687,0.00367353565241324,30,137,closed_loop,0.0008173667299299224,False,4.791015625,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,1000,1,graph,,4277,0.46799999475479126,0.4685441796498681,0.46999039649963376,0.4725836741924286,0.46483200788497925,0.0013119876384735107,2117.4034092134193,0.003732381183423228,18,139,closed_loop,0.0007521265676626713,False,,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,100,8,eager,,1761,1.1353919506072998,1.1370038655181962,1.1423039436340332,1.1779072046279908,1.1273599863052368,0.0039359331130981445,7013.332946794897,0.0036806079967837135,18,52,closed_loop,8.452013248557016e-05,False,36.48828125,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,100,8,graph,,1807,1.106335997581482,1.107698560222843,1.1130239963531494,1.1223007798194886,1.0926079750061035,0.0038559436798095703,7198.2466914074585,0.0036831891064197375,15,89,closed_loop,8.673990387925632e-05,False,,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,500,8,eager,,1740,1.1487679481506348,1.1502857006829361,1.1558719873428345,1.185049306154251,1.1388800144195557,0.003967940807342529,6932.625826985125,0.003678208469659383,15,72,closed_loop,0.00019498651178988694,False,36.48828125,1410.0
goodreads,128,filter,clause,c0_genre,linr_v1_filter_mask,triton,{},0,ok,cublas+triton,797084,10000,9859,9859,9859,77164,0.33065800339244367,,1000,0.10155626339837909,291.90088272094727,97.30029678344727,False,868.0,486.7254359968938,0e6778056238de3c921cd2a14beec28b98a1d41c,5fd05a6,False,NVIDIA A100-SXM4-80GB,1410.0,False,0.21263013958267074,0.0873022909797252,0.01139162157404609,0.08449157348979736,0.4242831336034707,0.1320970781844248,0.005116543476325757,0.0856657801544552,0.5264101389549746,0.1507035925900215,0.0033278224363545027,0.08576250666017432,9859,0.9996946954935145,0.9997809958791669,0.9996946936737561,1.0,0.9996569674582616,0.999728944531584,0.9996569675973129,1.0,0.9996274517568906,0.9996963128778535,0.9996274710003823,1.0,9859,,,,,reference,500,8,graph,,1791,1.1172800064086914,1.118320829904259,1.1242719888687134,1.1294432044029235,1.108512043952942,0.0039520263671875,7130.097264858677,0.0036834994656524955,10,65,closed_loop,0.0002004817537064051,False,,1410.0
